IRALCFY,IRALCAGE,SCHFELT,TCHGJOB,PARHLPHW,PRCHORE2,PRLMTTV2,PARLMTSN,PRGDJOB2,YOFIGHT2,YOSTOLE2,PRALDLY2,YFLADLY2,PRTALK3,PRBSOLV2,PREVIOL2,PRVDRGO2,DRPRVME3,ANYEDUC3,EDUSKPCOM,INCOME,GOVTPROG,POVERTY3
991,991,1,1,1,2,2,2,1,2,2,1,1,1,2,2,2,1,1,0,3,2,2
991,991,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,94,4,2,3
1,16,1,1,1,2,2,1,2,2,2,1,1,2,2,2,2,1,1,0,4,2,3
991,991,1,1,1,1,2,1,1,2,2,1,1,1,2,2,2,2,1,0,4,2,3
991,991,2,1,1,1,2,2,1,2,2,2,1,2,2,2,2,1,2,0,3,2,3
991,991,2,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,0,4,2,3
991,991,1,1,2,1,2,2,1,2,2,1,1,1,1,1,2,1,1,99,2,2,3
991,991,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,99,4,2,3
991,991,2,1,1,1,2,1,1,2,2,1,1,1,1,2,2,2,1,0,4,2,3
991,991,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,99,2,1,1
991,991,1,1,2,1,2,2,1,2,2,1,1,1,2,2,2,1,1,0,4,2,3
12,11,1,1,1,1,2,2,1,1,2,1,1,1,2,2,2,1,2,3,3,2,3
991,991,2,1,1,1,2,2,1,2,2,1,1,1,2,2,2,1,1,0,2,1,3
991,991,1,1,1,1,2,1,1,2,2,1,1,1,2,2,2,2,2,0,1,1,1
991,991,2,2,2,1,2,1,1,2,2,1,1,2,2,2,2,1,1,98,1,1,1
991,991,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,99,4,2,3
991,991,1,2,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,99,4,1,3
5,15,2,2,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,3,4,2,3
991,991,2,1,2,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1
991,991,1,1,1,1,2,2,1,2,2,1,1,1,2,2,2,2,1,0,4,2,3
5,15,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,0,4,2,3
2,15,1,1,1,1,1,2,1,2,2,1,1,2,2,2,2,2,2,0,1,2,1
991,991,1,2,1,1,2,2,2,1,2,1,1,1,2,2,2,1,1,0,1,1,1
991,991,1,1,2,1,2,1,1,1,2,1,1,2,2,2,2,2,2,99,2,2,2
991,991,1,2,1,1,1,1,1,2,2,1,1,2,2,2,2,2,1,99,4,2,3
991,991,1,1,2,1,1,1,1,2,2,1,1,1,NA,NA,2,1,1,99,4,2,3
991,991,1,1,1,1,2,2,1,2,1,1,1,1,2,2,2,2,1,0,4,2,3
991,991,2,1,2,1,1,1,1,2,2,1,1,1,NA,2,2,2,1,0,4,2,3
991,991,1,1,1,1,2,2,1,2,2,1,1,1,2,2,2,1,2,0,4,2,3
993,14,1,2,1,1,2,2,1,1,1,1,1,2,2,2,2,1,2,30,4,2,3
991,991,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,7,1,1,1
2,16,1,1,1,1,2,1,1,NA,2,1,1,2,2,2,2,2,2,98,2,1,1
991,991,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,2,99,3,1,3
991,991,1,2,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,0,4,2,3
991,991,1,2,2,1,2,1,1,2,2,1,1,2,2,2,2,1,1,0,4,2,3
991,991,1,1,1,2,1,2,1,2,2,1,1,2,2,2,2,1,2,0,4,2,3
991,991,1,2,1,1,2,1,1,2,2,1,1,2,2,2,2,2,1,99,4,2,3
991,991,1,1,2,1,2,2,1,2,2,1,1,2,2,2,2,1,1,0,4,1,2
991,991,1,1,1,1,2,NA,1,2,2,1,1,1,2,2,2,2,1,0,2,1,1
991,991,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,99,4,2,3
991,991,1,2,1,2,2,1,1,2,2,1,1,1,2,2,2,1,1,0,2,1,1
991,991,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,0,4,2,3
104,15,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,1,1,18,2,1,3
991,991,2,2,1,1,2,2,1,2,2,1,1,2,2,2,2,2,1,0,4,2,3
991,991,1,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,99,2,2,2
991,991,1,1,1,1,2,1,1,2,2,1,1,1,1,2,2,2,2,0,2,2,2
12,16,1,1,1,2,2,2,1,1,2,2,2,1,2,2,2,1,1,99,2,2,1
52,12,1,1,1,1,2,1,1,1,2,1,2,2,2,2,2,1,2,0,4,2,3
991,991,1,1,1,1,1,NA,1,2,2,1,1,NA,2,2,2,2,2,0,1,1,1
991,991,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,1,1,3,2,3
991,991,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,1,1,98,3,1,2
1,16,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,1,1,0,1,2,1
991,991,1,1,2,1,1,1,1,2,2,1,1,1,2,2,2,1,1,99,3,2,2
991,991,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,2,1,4,2,3
991,991,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,0,2,2,2
991,991,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,0,3,2,3
991,991,1,2,1,2,2,2,1,2,2,1,1,1,2,2,2,2,2,0,3,2,3
991,991,1,1,2,1,2,2,2,1,2,1,1,2,2,2,2,2,2,0,2,2,1
991,991,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,0,4,2,3
1,15,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,1,1,99,4,2,3
60,11,2,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,0,1,2,1
991,991,2,2,2,1,1,1,2,2,2,1,2,1,2,2,2,1,1,98,4,2,3
991,991,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1
991,991,2,1,2,1,1,2,2,2,2,2,1,1,1,2,2,1,1,99,4,2,3
993,15,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,1,2,3,4,2,3
991,991,2,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,3,2,2
36,15,1,1,1,1,2,1,2,2,2,1,1,2,2,2,2,1,2,3,4,2,3
991,991,2,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,99,4,2,3
991,991,2,1,1,2,2,2,1,2,2,1,1,2,2,2,2,1,2,0,4,2,3
991,991,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,0,4,2,3
3,13,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,1,1,0,4,1,3
991,991,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,1,2,2,4,2,3
991,991,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,0,4,2,3
104,15,2,1,2,1,2,1,1,2,2,1,2,2,2,2,2,1,2,99,3,1,2
991,991,1,1,2,1,1,1,1,2,2,1,1,1,1,2,2,2,1,0,1,1,1
134,17,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,3,2,3
991,991,2,1,1,1,1,NA,1,2,2,1,1,1,NA,NA,1,2,1,99,2,1,2
991,991,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,0,2,2,2
24,15,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,99,4,2,3
991,991,2,1,2,1,1,2,1,2,2,1,1,1,2,2,2,2,1,99,4,1,3
991,991,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,2,0,4,2,3
991,991,1,1,1,1,1,2,1,2,2,1,1,2,NA,2,2,NA,1,94,2,1,1
991,991,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,1,3,3,2,3
991,991,1,2,1,1,2,1,1,2,2,1,1,1,2,2,2,1,2,0,2,2,2
991,991,1,1,2,1,2,1,1,2,2,1,1,1,2,2,2,2,1,0,3,2,2
168,13,1,1,2,1,2,1,1,2,2,1,2,1,2,2,2,1,1,0,4,1,3
991,991,2,1,1,1,2,2,1,2,2,1,2,2,NA,2,2,1,2,98,3,2,2
3,13,1,1,2,2,2,1,2,2,2,1,1,1,2,2,2,2,1,0,4,2,3
991,991,2,2,2,1,2,1,1,2,2,1,1,1,2,2,2,1,1,4,1,1,1
991,991,1,1,2,1,2,1,1,2,2,1,1,1,2,2,2,1,2,4,4,2,3
991,991,1,1,1,1,2,1,1,2,2,1,1,2,1,2,1,1,1,3,2,1,1
991,991,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,1,0,1,1,1
993,15,1,1,2,1,2,1,2,2,2,1,1,1,2,2,2,2,1,0,4,2,3
991,991,2,2,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,0,4,2,3
993,15,1,1,1,1,2,1,1,2,2,1,1,1,1,2,2,1,1,0,2,2,2
991,991,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2,2,2,0,1,2,1
991,991,1,1,1,1,1,2,1,NA,2,1,1,NA,2,2,2,2,1,99,4,2,3
1,17,1,2,1,1,1,1,1,2,2,1,1,2,2,2,2,2,1,0,4,2,3
17,17,2,1,1,1,2,1,1,2,2,1,2,2,2,2,2,1,1,0,2,2,1
991,991,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,0,2,2,2
991,991,2,1,1,1,2,2,1,2,2,1,1,1,1,2,2,1,1,99,1,1,1
991,991,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,99,4,2,3
991,991,1,1,1,1,1,2,1,2,2,1,1,1,2,2,1,1,2,0,2,2,2
993,10,1,1,1,1,2,2,1,1,2,1,1,2,2,1,1,1,1,0,4,2,3
24,14,2,2,1,1,2,1,2,1,2,2,1,1,2,2,2,2,1,30,4,2,3
991,991,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,2,1,0,1,2,1
991,991,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,1,99,4,2,3
991,991,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,1,2,3,3,1,2
991,991,1,1,1,1,2,2,1,2,2,1,1,2,NA,2,2,1,1,0,4,2,3
991,991,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1
24,14,2,2,2,1,2,1,2,1,1,1,1,1,1,2,2,2,1,1,2,1,2
991,991,2,2,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,0,1,1,1
36,14,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,99,3,2,3
991,991,2,2,1,1,2,1,2,2,2,1,1,1,1,2,2,1,1,4,4,2,3
991,991,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,2,1,0,3,2,3
